Museum Name,Month,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
British Museum,1,0,327033,360700,351099,546448,410035,402611,414782,408567,355439,428710,446904,437169,388072,397809,447863,463881,0,190792,395472,446425,481600
British Museum,2,0,367113,328462,368636,580093,417681,457606,460670,491294,463939,457379,477719,497950,420134,385277,470127,471593,0,246311,303120,509388,501284
British Museum,3,0,365956,388734,422498,635357,478764,519990,532013,500728,598079,589267,533510,555868,491414,432333,494348,179887,0,280991,466847,548622,516333
British Museum,4,403841,372676,431430,400735,455743,508408,513323,495739,579873,644605,641259,600774,530029,549563,472113,518883,0,0,335401,376473,539986,494529
British Museum,5,367435,414362,443157,431701,454604,471666,539734,485629,462164,660497,654228,635393,568317,541927,480033,546823,0,44893,346168,531650,583873,545199
British Museum,6,352583,390743,442917,401792,389540,460450,461935,526789,457906,579950,596527,601099,567555,557991,507173,577624,0,111514,379912,560358,541916,560756
British Museum,7,504251,400081,484378,470926,552341,567216,601719,663409,493439,747936,698550,765877,689401,679308,645024,687837,0,145595,471554,715654,707512,0
British Museum,8,490457,359917,473701,500509,582018,549704,596630,617343,480136,739711,702997,717386,635353,591149,628253,638890,7194,205847,432545,633089,641660,0
British Museum,9,360254,320651,363569,481784,443478,416677,432671,444345,443538,555727,498386,520716,477003,422497,464483,447383,43627,168444,335308,472610,464590,0
British Museum,10,455236,405798,399860,555695,526540,499376,490251,494480,491908,533444,586248,624066,541954,479492,523369,522556,72418,250198,404408,524294,532125,0
British Museum,11,387258,365994,354909,509191,384757,391531,430562,342734,415935,410312,425550,483800,477088,421888,433200,442347,11903,220861,327109,406665,471668,0
British Museum,12,396783,377364,366105,523699,376555,405153,395106,370601,350458,411397,416112,413442,442708,363281,459485,445302,24963,179768,346754,434628,492187,0
Museum Of The Home,1,0,5226,7545,7432,7149,7668,8291,8500,8096,10201,9886,8644,9524,9529,14580,166,270,0,5469,12736,11098,13693
Museum Of The Home,2,0,6728,10378,6858,6560,7072,8480,8610,7883,8957,9291,7535,8936,9425,85,316,112,0,9050,10576,11175,14710
Museum Of The Home,3,0,6329,5760,8235,5836,7247,7684,8596,7815,8572,7870,7893,8567,8155,122,230,272,0,6297,10875,11969,15084
Museum Of The Home,4,6599,5778,5381,6227,5365,7294,8223,7970,8654,9362,9981,8567,11911,9069,240,1515,0,0,13032,12433,12060,15096
Museum Of The Home,5,6742,5136,6252,8037,5822,6947,8296,8206,7692,9525,10135,9973,10614,11076,605,542,0,0,10210,12577,14490,16903
Museum Of The Home,6,5517,5371,4531,6556,5546,5741,7859,8256,7232,7953,7546,7126,8306,6839,1469,5475,0,2810,12648,19087,14707,15262
Museum Of The Home,7,6431,4629,3905,4971,6028,6809,7986,8779,6289,7450,7523,8095,8679,13488,4413,4415,0,4714,16141,19196,0,0
Museum Of The Home,8,5998,5004,5145,5774,6535,6646,8789,9200,7812,10057,11123,8941,9616,9849,22795,1995,0,8351,15534,17423,17645,0
Museum Of The Home,9,6823,5203,5222,5410,5853,6128,7819,7865,8727,8133,7191,9153,9858,9807,2443,843,0,6859,13835,16527,0,0
Museum Of The Home,10,6988,6194,4407,6830,7449,7888,9127,8104,8952,9223,9245,9594,10348,9385,2679,932,0,9546,13799,13467,0,0
Museum Of The Home,11,5681,6883,6116,6846,8731,8334,8494,8058,8683,8802,8282,8722,8202,15014,2491,341,0,8323,14640,13219,0,0
Museum Of The Home,12,10897,11527,13423,10156,13183,13132,12392,14657,13715,15571,13070,16992,17127,15592,616,322,0,7535,14646,14291,13438,0
National Coal Mining Museum,1,0,4432,4579,5539,5023,4841,3246,3675,3807,3000,5526,3884,5315,5954,5248,4974,5324,0,2395,3510,4717,1848
National Coal Mining Museum,2,0,8788,10450,9738,10739,8516,9272,8036,7218,8000,13631,9475,9579,10306,9374,7825,8264,0,3548,7232,7854,5767
National Coal Mining Museum,3,0,13361,8000,9430,15065,9493,9088,6864,7610,7800,8828,9622,13068,9174,7932,6276,3742,0,3583,5559,9466,4494
National Coal Mining Museum,4,13710,10518,14797,13509,10831,14372,13406,10027,13000,13600,15828,14168,11023,16726,13168,12091,0,0,4546,10406,8832,10463
National Coal Mining Museum,5,9812,12761,11513,11915,10210,11187,9136,9311,7000,11200,12939,16016,9969,10248,9423,11080,0,1023,4667,6218,8456,8258
National Coal Mining Museum,6,9392,10837,8851,9579,8734,10629,9290,8607,12000,10900,10186,9990,8828,8881,9685,8599,0,2730,6630,7249,8365,8883
National Coal Mining Museum,7,10946,12737,12743,15555,12877,12959,10595,10195,12000,10400,9902,14278,11572,12626,8847,10431,0,3932,6736,9493,9823,0
National Coal Mining Museum,8,15462,18217,19820,19309,20170,17887,17206,16778,28000,20605,20666,22991,19559,30601,21258,20140,1979,9297,14204,17378,16069,0
National Coal Mining Museum,9,6748,7096,8871,8185,6299,7600,7471,7449,7000,6928,6529,7942,7825,9542,7902,8126,1426,3788,7164,6389,4830,0
National Coal Mining Museum,10,11798,12226,12722,11398,10643,10865,10985,9129,9000,9656,9265,10813,11196,11258,8829,8444,1601,4237,4476,5829,6609,0
National Coal Mining Museum,11,6235,7448,8064,8550,7749,6447,6710,6698,7000,7170,6343,7305,9835,6360,6265,5903,68,2780,5091,7810,8136,0
National Coal Mining Museum,12,5869,4758,6872,6872,5823,4865,4208,4574,6000,6873,5084,6826,6691,6019,6032,6409,0,2874,4565,5574,5150,0
National Gallery,1,0,402000,291000,435000,251000,340000,370000,422000,530000,413000,427000,536000,434289,491383,394954,510372,451289,0,107882,255472,243309,266364
National Gallery,2,0,342000,316000,324000,286000,339000,371000,407000,414000,494000,493000,475000,564105,471899,478465,423581,389120,0,168626,225522,242540,197276
National Gallery,3,0,507000,395000,414000,389000,466000,411000,453000,443000,692000,551000,576000,578834,526341,437032,563625,122917,0,170544,268132,263904,285685
National Gallery,4,437000,455000,385000,387000,358000,443000,402000,399000,549000,531000,576000,582391,593859,529623,552410,536234,0,0,263527,278028,266214,267387
National Gallery,5,391000,417000,344000,406000,341000,415000,379000,395000,440000,533000,575000,569944,482986,436894,460506,527889,0,36404,261732,259738,271627,355351
National Gallery,6,319000,276000,268000,303000,302000,346000,368000,425000,409000,489000,516000,446139,469255,356412,428434,553323,0,64661,262770,241147,247889,377294
National Gallery,7,460000,332000,411000,377000,454000,466000,519000,542000,415000,583000,581000,568275,538471,465114,594002,597199,30176,71505,280841,301220,282217,0
National Gallery,8,443000,268000,440000,382000,493000,481000,568000,517000,351000,568000,681000,464029,553085,446573,540749,526523,50950,107818,236749,316525,284429,0
National Gallery,9,325000,277000,284000,259000,296000,305000,345000,339000,373000,391000,381000,308832,429065,319761,367576,361311,44980,83779,195936,236605,283050,0
National Gallery,10,425000,299000,452000,282000,356000,334000,448000,402000,430000,476000,536000,436293,585215,416086,502528,500286,67903,129940,263647,252344,299408,0
National Gallery,11,448000,330000,505000,307000,344000,366000,402000,444000,415000,402000,505000,499436,527795,360265,449050,425642,8405,122233,247606,219963,270588,0
National Gallery,12,410000,297000,473000,285000,350000,387000,372000,508000,395000,459000,596000,446337,505880,408841,530125,485022,31403,113395,267259,241812,248276,0
Natural History Museum,1,0,223862,265744,261511,254620,292456,332557,360178,384493,373745,433845,400768,363712,367032,339191,424848,421714,0,219974,415402,456260,446924
Natural History Museum,2,0,284144,342435,343704,349749,344744,417306,432564,424552,485675,505451,458190,426559,375208,436238,452077,461717,0,308887,469750,491375,486820
Natural History Museum,3,0,304075,297719,319258,379059,341543,386088,390811,413723,492819,484032,453499,437016,324657,425882,440131,161945,0,316441,473430,521150,508635
Natural History Museum,4,334563,317159,427859,377222,381344,375266,473832,435006,563292,507818,535622,509192,436803,414546,499161,522831,0,0,467083,558640,548626,579533
Natural History Museum,5,224639,266981,289375,302140,315724,302056,363554,347975,371562,467023,456755,477414,365201,347883,424491,440358,0,67216,372120,479733,519547,519162
Natural History Museum,6,241971,259160,235277,235274,244244,249596,346115,368839,397215,407379,423197,405309,356587,329714,395371,433899,0,149744,399142,457615,452622,491691
Natural History Museum,7,346481,274360,368301,362649,370435,357792,461953,467542,438993,531883,528358,535820,420078,428928,503986,517138,0,200089,495729,577835,563855,0
Natural History Museum,8,444688,307145,382191,451542,494078,504349,592534,581974,538208,587485,603963,607731,485832,457134,619834,584559,73055,296850,589102,639279,634414,0
Natural History Museum,9,215577,193935,260544,230292,234777,313639,318902,359336,364002,385800,365915,398604,318413,343974,405607,384502,64462,183279,332730,393060,412218,0
Natural History Museum,10,328146,286137,350074,313229,308171,435690,448191,461111,465167,474547,455093,503202,438062,439982,520751,518274,103142,291998,473852,491752,530596,0
Natural History Museum,11,192761,233607,247359,242251,239766,350938,321562,343098,409545,395478,387150,354632,350801,362140,381659,421631,18138,255067,390032,426586,464845,0
Natural History Museum,12,187571,264335,268148,246893,245978,353290,299451,359332,388126,390798,367438,332606,367769,387044,424729,435291,43488,179457,423724,463472,487055,0
Royal Armouries,1,0,15835,12872,12415,14872,17614,12789,15270,86000,85014,84721,97268,100868,91763,100556,113974,121270,0,37774,101585,99448,111065
Royal Armouries,2,0,29947,29310,26622,24390,30253,29918,27946,114547,117752,111109,117266,107470,127520,134196,133477,136286,0,88479,141860,163131,140944
Royal Armouries,3,0,40040,17747,19226,32634,24512,25278,21120,159614,173507,172213,171173,188791,142893,175219,195358,81512,0,96323,166725,220659,190532
Royal Armouries,4,54545,30202,45646,35339,27135,40110,43948,202724,182253,170634,185085,171629,168647,245634,233284,224296,0,3008,185377,255892,208950,229950
Royal Armouries,5,22802,21773,20839,19326,17334,23891,24868,140242,152471,193689,167797,173430,149355,180268,216075,180887,0,21367,119540,190470,198251,214553
Royal Armouries,6,36170,37138,24524,31354,29401,33272,36343,199722,207388,226849,236477,229886,218019,248142,302983,277108,0,64934,230047,262582,274982,266597
Royal Armouries,7,33359,31563,22420,36748,27156,27578,34132,189763,164563,194861,203072,200270,186757,211921,206808,226513,11952,65620,198270,229726,219446,0
Royal Armouries,8,52780,54835,45458,67222,58177,50172,47421,223278,171785,221711,288522,217026,211005,226328,236561,253030,33827,141347,220082,247295,253330,0
Royal Armouries,9,32841,31412,27698,35762,36021,38008,28556,172158,182056,187577,154891,187050,175433,184954,197594,210567,41852,75697,160518,191845,197808,0
Royal Armouries,10,31230,32731,28977,27448,25342,20269,29662,144483,150228,151232,163498,132241,165269,162219,178625,186902,26130,96812,180017,179129,173133,0
Royal Armouries,11,16687,15878,14624,17522,33845,29323,18225,102191,118057,116355,155654,127697,104995,116912,141275,142609,19012,59768,114814,131534,148230,0
Royal Armouries,12,17915,13498,13196,8937,11656,13226,14168,117643,105709,110582,84431,108056,128878,126286,138333,139228,4164,63391,142580,151819,157969,0
Tate,1,0,380623,491014,538958,572863,510712,537888,508582,458280,462217,498601,551337,501954,583695,614346,602503,584735,0,256489,458682,444606,387561
Tate,2,0,537371,482463,646083,641559,539269,579141,534969,559721,556537,569390,529402,441777,791483,631099,694584,608229,0,312049,538914,490262,452338
Tate,3,0,630452,515945,699878,698835,567779,618145,592768,603734,693488,574733,553600,499537,905614,801856,756813,279018,0,349715,522948,530287,451588
Tate,4,460099,608435,591088,684842,586966,591720,590649,628313,783263,670969,659476,589142,441342,1022007,808511,784493,0,0,411267,604329,560214,467667
Tate,5,451568,541077,521653,557464,611173,579244,658090,578026,626807,658903,759264,658801,437003,861520,677232,719994,0,131340,413778,552362,586778,524071
Tate,6,548208,517768,523585,576471,646381,534948,581744,593472,631525,529973,666136,546754,734041,520915,624723,704603,0,202595,449368,521922,496674,453608
Tate,7,668281,534737,663637,674884,716663,662678,750621,744364,745827,685250,798793,697374,964422,648432,702768,897924,25485,252591,533526,652709,575425,0
Tate,8,726580,529949,743149,740130,851192,703650,807915,728906,791576,703516,910501,686972,874005,656281,833752,913669,176440,363639,633859,678648,635483,0
Tate,9,470629,519443,620196,532849,587983,535868,545806,528737,693613,562672,643881,517453,688246,566338,653891,695524,139302,301280,448582,467775,452193,0
Tate,10,562560,685109,872815,780283,773758,737993,846751,670343,743558,622083,711937,586127,855808,693841,690718,835957,163890,367863,629031,558905,544299,0
Tate,11,466993,536323,682876,686494,602004,560943,601325,499533,548996,515852,589981,477321,588643,588329,577770,686469,23579,305380,515740,457613,403266,0
Tate,12,389141,450180,603918,558155,481314,482955,431238,472866,469546,444548,529813,459248,583918,560740,534490,553213,62305,226465,436816,398013,378473,0
V&A,1,0,225170,141475,206143,191288,203031,302291,290094,306552,320584,293270,272721,268306,273834,308163,274967,278788,0,87429,197482,343370,303100
V&A,2,0,197585,186651,308910,227929,220365,261189,271384,284164,273525,284996,290245,351922,333032,394389,370841,344449,0,125349,231853,384486,320200
V&A,3,0,190028,182213,286132,195102,260810,206157,217628,283916,353191,277344,370372,354545,273042,381299,411681,211726,0,124973,242159,362823,301700
V&A,4,284814,247841,221991,236137,193422,222458,249197,277507,302125,343485,296336,334602,295481,227375,331111,367784,0,0,266299,302726,307900,326300
V&A,5,177050,175840,195950,214431,164546,244628,307528,217868,244387,301667,267692,318730,240048,250198,281550,341428,0,30832,217569,230598,323100,331900
V&A,6,185439,172049,175561,205730,228261,163399,241527,245965,341451,389999,352711,405912,327441,372442,388149,438520,0,86799,197059,228426,306900,355000
V&A,7,243459,217401,272539,245919,192445,204535,227852,341051,268108,325171,299846,381016,255451,447161,352983,364887,0,111688,225037,363755,385800,0
V&A,8,194578,166883,235772,193663,264365,275252,342534,279633,266608,353293,329576,340811,265206,455726,394243,406810,12982,138066,233173,375061,459700,0
V&A,9,156413,133475,187509,214547,160759,182947,237391,245040,354253,316249,377363,351898,332914,527910,469553,398317,41078,129088,201366,306323,314700,0
V&A,10,274796,237611,301856,239950,200447,206220,279419,381176,299015,259762,307105,275627,292477,385131,376188,330966,53845,143709,275870,367747,319500,0
V&A,11,196472,162564,227999,221166,249910,287915,233836,268013,366789,254622,294062,287449,266136,308756,329372,281921,5103,119149,209669,335935,299500,0
V&A,12,145915,171446,254335,237210,152341,189059,150497,204335,344221,246886,278175,258991,284758,338007,312550,314672,16764,98411,194603,312546,314000,0
Wallace Collection,1,0,19149,18856,24411,27103,25699,35214,26729,32244,29597,36497,37144,34078,34909,37490,36089,48838,0,19933,23898,31521,35196
Wallace Collection,2,0,18492,22742,30164,33138,26863,31440,31658,31336,32947,32354,39064,36401,35885,36001,33360,49989,0,19523,25430,35137,40956
Wallace Collection,3,0,18191,19181,28430,34028,31209,32072,32719,35789,38065,33795,43772,36392,40307,37689,40444,19688,0,20239,32016,39440,46068
Wallace Collection,4,60197,18278,22474,24818,29798,31704,30106,31624,32956,34007,29206,38096,32490,40964,36324,35416,0,0,27750,47686,43065,56303
Wallace Collection,5,22555,18985,23287,30712,32130,31037,33240,34549,34479,35047,32092,40402,35652,40278,34003,37460,0,0,29237,38871,47529,57731
Wallace Collection,6,21473,18264,20039,28458,29988,25818,28490,33413,31450,34333,32309,37346,33087,38135,34681,45679,0,9855,23886,32192,46149,51242
Wallace Collection,7,20632,15502,18593,25171,30941,27246,30671,35892,29496,35472,32971,33061,34914,39805,35664,47053,2422,11670,23213,43975,48701,0
Wallace Collection,8,20226,14524,18727,26634,29275,23366,29012,32969,26420,35234,30609,35048,32851,35805,35676,46230,6511,15230,25389,39002,48990,0
Wallace Collection,9,19223,16387,18818,26163,27568,24700,27337,31943,29585,32898,36332,32248,33743,35434,32645,36891,5666,9905,25412,41649,43295,0
Wallace Collection,10,28190,19303,26116,29153,36342,47645,33209,35660,32294,35710,41832,36814,36932,42271,36032,42400,7104,20427,30907,47652,51068,0
Wallace Collection,11,21448,21231,25941,28069,33630,41783,30783,33297,32645,38091,39109,36078,36575,43450,35182,37228,1254,19957,23117,31501,38973,0
Wallace Collection,12,18233,15961,20650,21902,25722,30743,23578,30596,27822,32031,33396,30739,31857,35962,31576,40145,2640,13665,23318,26510,36496,0
